English,French
Move with z and s,Bouger avec z et s
Rotate with q and d,Tourner avec q et d
Jump with space,Sauter avec espace
Press E to spawn clone,Appuyer sur E pour apparaitre un clone
Press L to change camera lock,Appuyer sur L pour changer le verrouillage de la caméra
Get into the hole to get to next level,Atteindre le trou pour passer au niveau suivant
Change camera with mouse buttons,Changer la caméra avec les boutons de la souris
Jump and forward to climb to the top,Sauter et avancer pour grimper vers le haut
This sphere is used to recover energy,Cette sphère est utilisée pour récupérer de l'énergie
This kind of floor causes you to lose energy,Ce type de sol vous fait perdre de l'énergie
Play,Jouer
Option,Option
Leave,Quitter
